"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","familiarity","fit_1","fit_2","fit_3","fit_4","fit_5","fit_6","attitude_1","attitude_2","attitude_3","similarity_1","similarity_2","similarity_3","similarity_4","similarity_5","cohesiveness_1","cohesiveness_2","cohesiveness_3","cohesiveness_4","age","gender","country","edu","field","field_2_TEXT","email","FL_9_DO"
"21","2021-04-29 08:08:59","2021-04-29 08:15:54","IP Address",NA,"100","414","True","2021-04-29 08:15:54","R_2YkTtCPgWm1EMXO","","","","",NA,NA,"anonymous","EN","Moderately familiar","4","3","4","7","4","3","4","3","4","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","29","Male","Switzerland","Bachelor's degree","Other","Student",NA,"sponsor2"
"22","2021-04-29 08:16:52","2021-04-29 08:21:38","IP Address",NA,"100","285","True","2021-04-29 08:21:38","R_27VXNkrStEWs8Vf","","","","",NA,NA,"anonymous","EN","Moderately familiar","6","6","6","7","5","6","4","4","5","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","24","Female","Netherlands","Bachelor's degree","Business or related","",NA,"sponsor1"
"23","2021-04-29 08:18:13","2021-04-29 08:23:24","IP Address",NA,"100","310","True","2021-04-29 08:23:25","R_1gvhRXSq48mG2hG","","","","",NA,NA,"anonymous","EN","Slightly familiar","3","3","3","3","5","6","5","5","5","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","22","Female","Italy","Bachelor's degree","Business or related","",NA,"sponsor4"
"24","2021-04-29 08:34:00","2021-04-29 08:35:26","IP Address",NA,"100","86","True","2021-04-29 08:35:27","R_QaJIKO2KUf87R4Z","","","","",NA,NA,"anonymous","EN","Moderately familiar","3","4","4","3","3","4","3","3","4","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","24","Male","Netherlands","Master's degree","Business or related","",NA,"sponsor3"
"25","2021-04-29 08:33:24","2021-04-29 08:35:57","IP Address",NA,"100","152","True","2021-04-29 08:35:57","R_4VjsJiANVadASGZ","","","","",NA,NA,"anonymous","EN","Slightly familiar","4","4","4","4","4","4","4","4","4","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","21","Female","Egypt","High school","Business or related","",NA,"sponsor4"
"26","2021-04-29 08:39:01","2021-04-29 08:40:56","IP Address",NA,"100","115","True","2021-04-29 08:40:57","R_DRZPtLwago1taJX","","","","",NA,NA,"anonymous","EN","Moderately familiar","4","4","4","5","5","5","5","5","5","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","22","Female","Netherlands","Bachelor's degree","Other","",NA,"sponsor2"
"27","2021-04-29 08:40:21","2021-04-29 08:41:50","IP Address",NA,"100","89","True","2021-04-29 08:41:50","R_2bPGRA18eBhc7Dx","","","","",NA,NA,"anonymous","EN","Slightly familiar","5","2","5","6","4","4","4","3","3","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","22","Female","Italy","Bachelor's degree","Business or related","",NA,"sponsor4"
"28","2021-04-29 08:40:11","2021-04-29 08:42:00","IP Address",NA,"100","108","True","2021-04-29 08:42:01","R_1P6uVDxLdwWBT2H","","","","",NA,NA,"anonymous","EN","Slightly familiar","7","7","7","7","7","7","7","7","7","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","20","Female","Canada","High school","Business or related","",NA,"sponsor2"
"29","2021-04-29 08:40:03","2021-04-29 08:42:48","IP Address",NA,"100","164","True","2021-04-29 08:42:48","R_1gd1u964J7ty3QF","","","","",NA,NA,"anonymous","EN","Moderately familiar","4","3","3","2","5","3","4","5","5","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","24","Female","Italy","Bachelor's degree","Business or related","",NA,"sponsor3"
"30","2021-04-29 08:48:46","2021-04-29 08:49:52","IP Address",NA,"100","66","True","2021-04-29 08:49:53","R_1iaIGtwDIrJpMJe","","","","",NA,NA,"anonymous","EN","Very familiar","6","7","4","4","5","4","4","4","4","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","23","Male","Italy","Master's degree","Business or related","",NA,"sponsor1"
"31","2021-04-29 08:50:11","2021-04-29 08:52:03","IP Address",NA,"100","111","True","2021-04-29 08:52:04","R_3MLtcjuuGlXjxGj","","","","",NA,NA,"anonymous","EN","Slightly familiar","5","5","6","5","4","6","5","5","5","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","23","Female","Italy","Bachelor's degree","Business or related","",NA,"sponsor3"
"32","2021-04-29 08:49:47","2021-04-29 08:52:06","IP Address",NA,"100","138","True","2021-04-29 08:52:06","R_DSi50WT0cCOd7m9","","","","",NA,NA,"anonymous","EN","Very familiar","7","7","6","7","7","7","7","7","7","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","21","Male","Netherlands","Bachelor's degree","Business or related","",NA,"sponsor1"
"33","2021-04-29 08:51:54","2021-04-29 08:53:40","IP Address",NA,"100","106","True","2021-04-29 08:53:40","R_2PpnOX4ODCtDKLy","","","","",NA,NA,"anonymous","EN","Moderately familiar","2","2","2","3","2","4","3","2","2","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","23","Male","Netherlands","Master's degree","Business or related","",NA,"sponsor4"
"34","2021-04-29 08:50:38","2021-04-29 08:54:10","IP Address",NA,"100","212","True","2021-04-29 08:54:11","R_3GquwpDnseH4NYD","","","","",NA,NA,"anonymous","EN","Slightly familiar","4","4","4","4","4","4","4","4","4","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","24","Male","Italy","Bachelor's degree","Other","Economics and marketing",NA,"sponsor1"
"35","2021-04-29 08:46:31","2021-04-29 08:54:58","IP Address",NA,"100","506","True","2021-04-29 08:54:58","R_XhoBedyf54Yi241","","","","",NA,NA,"anonymous","EN","Slightly familiar","6","5","4","6","6","6","5","5","5","Strongly agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","23","Female","Italy","Bachelor's degree","Business or related","",NA,"sponsor3"
"36","2021-04-29 08:57:45","2021-04-29 08:59:19","IP Address",NA,"100","93","True","2021-04-29 08:59:19","R_3R4bwXbrERapyuu","","","","",NA,NA,"anonymous","EN","Not familiar at all","7","4","2","4","7","7","6","6","6","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","22","Male","Italy","Bachelor's degree","Business or related","",NA,"sponsor4"
"37","2021-04-29 08:57:19","2021-04-29 08:59:38","IP Address",NA,"100","138","True","2021-04-29 08:59:38","R_2ErTuoJU1L8imcH","","","","",NA,NA,"anonymous","EN","Moderately familiar","3","3","4","2","5","5","5","3","4","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","21","Female","Netherlands","High school","Business or related","",NA,"sponsor3"
"38","2021-04-29 08:58:14","2021-04-29 09:05:49","IP Address",NA,"100","454","True","2021-04-29 09:05:49","R_25Xdv7e0N1grl7H","","","","",NA,NA,"anonymous","EN","Slightly familiar","7","7","7","7","7","7","7","7","7","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","17","Female","Mexico","High school","Business or related","",NA,"sponsor1"
"39","2021-04-29 09:03:34","2021-04-29 09:06:06","IP Address",NA,"100","151","True","2021-04-29 09:06:06","R_1CDUb19VJxLElk5","","","","",NA,NA,"anonymous","EN","Moderately familiar","3","3","3","3","3","3","4","4","4","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","28","Female","Greece","Master's degree","Other","Academia",NA,"sponsor2"
"40","2021-04-29 09:14:27","2021-04-29 09:16:08","IP Address",NA,"100","100","True","2021-04-29 09:16:09","R_3P778oZl1o5q9PL","","","","",NA,NA,"anonymous","EN","Extremely familiar","4","3","5","5","5","5","5","6","5","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","25","Male","United States of America","Master's degree","Other","Psychology",NA,"sponsor4"
"41","2021-04-29 09:58:14","2021-04-29 10:01:57","IP Address",NA,"100","222","True","2021-04-29 10:01:58","R_2Xb0lSXhL0FwAIm","","","","",NA,NA,"anonymous","EN","Slightly familiar","4","3","3","3","2","4","4","4","4","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","22","Male","Italy","Bachelor's degree","Business or related","",NA,"sponsor3"
"42","2021-04-29 10:01:12","2021-04-29 10:04:50","IP Address",NA,"100","218","True","2021-04-29 10:04:51","R_4PgmltwVxjy4yTT","","","","",NA,NA,"anonymous","EN","Moderately familiar","3","4","3","2","5","3","3","3","3","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","25","Female","Germany","Bachelor's degree","Business or related","",NA,"sponsor4"
"43","2021-04-29 10:19:48","2021-04-29 10:21:21","Survey Preview",NA,"100","93","True","2021-04-29 10:21:23","R_2Pihp5KvKHZbouw","","","","",NA,NA,"preview","EN","Very familiar","6","6","5","4","5","5","6","6","6","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","23","Female","Italy","Bachelor's degree","Business or related","",NA,"sponsor3"
"44","2021-04-29 11:05:27","2021-04-29 11:06:57","IP Address",NA,"100","90","True","2021-04-29 11:06:57","R_yTLIGR0teAwWJBn","","","","",NA,NA,"anonymous","EN","Very familiar","7","6","6","7","6","3","7","6","6","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","21","Female","Brazil","Bachelor's degree","Business or related","",NA,"sponsor3"
"45","2021-04-29 11:04:45","2021-04-29 11:08:11","IP Address",NA,"100","206","True","2021-04-29 11:08:11","R_30es06U88Q49Vmj","","","","",NA,NA,"anonymous","EN","Slightly familiar","6","5","5","5","6","6","7","7","7","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","25","Female","Germany","Bachelor's degree","Business or related","",NA,"sponsor4"
"46","2021-04-29 11:07:08","2021-04-29 11:11:16","IP Address",NA,"100","248","True","2021-04-29 11:11:16","R_1d3RXVGxkZVU2Lc","","","","",NA,NA,"anonymous","EN","Moderately familiar","1","1","1","1","1","1","1","1","1","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","38","Male","South Africa","Master's degree","Business or related","",NA,"sponsor2"
"47","2021-04-29 11:11:55","2021-04-29 11:15:23","IP Address",NA,"100","208","True","2021-04-29 11:15:24","R_2xRinkF28KmiPm7","","","","",NA,NA,"anonymous","EN","Very familiar","5","3","3","3","3","6","7","7","7","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","22","Male","Netherlands","Bachelor's degree","Other","",NA,"sponsor2"
"48","2021-04-29 11:17:55","2021-04-29 11:20:40","IP Address",NA,"100","164","True","2021-04-29 11:20:41","R_3QVRALC4mz6A3CI","","","","",NA,NA,"anonymous","EN","Moderately familiar","7","7","7","7","5","7","6","6","6","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","24","Male","Austria","Bachelor's degree","Business or related","",NA,"sponsor1"
"49","2021-04-29 11:16:19","2021-04-29 11:24:22","IP Address",NA,"100","483","True","2021-04-29 11:24:23","R_2xzrDhIQF0HhEh0","","","","",NA,NA,"anonymous","EN","Moderately familiar","2","2","1","1","1","1","3","2","4","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","29","Male","Netherlands","Bachelor's degree","Other","Sociology",NA,"sponsor4"
"50","2021-04-29 11:19:20","2021-04-29 11:24:28","IP Address",NA,"100","308","True","2021-04-29 11:24:28","R_1l024odAAygZRcU","","","","",NA,NA,"anonymous","EN","Not familiar at all","1","1","1","1","1","1","2","2","1","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat disagree","29","Male","United Kingdom of Great Britain and Northern Ireland","Master's degree","Other","Social science ",NA,"sponsor3"
"51","2021-04-29 11:22:52","2021-04-29 11:28:13","IP Address",NA,"100","320","True","2021-04-29 11:28:13","R_22Vw44UWUeKkv95","","","","",NA,NA,"anonymous","EN","Moderately familiar","3","2","3","3","3","3","4","4","4","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","30","Female","Argentina","Master's degree","Other","",NA,"sponsor4"
"52","2021-04-29 11:36:57","2021-04-29 11:37:26","IP Address",NA,"100","29","True","2021-04-29 11:37:26","R_2cjzADwaoDpEeSV","","","","",NA,NA,"anonymous","EN","Very familiar","5","5","5","5","5","5","5","4","5","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","22","Male","Barbados","Master's degree","Business or related","",NA,"sponsor4"
